centro,almacen,material,descripcion,lote,f_prod,stock,un,un_pallet,f_caja,cajas,pallets,camiones,bloqueado,control_calidad
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K04FJNLB,04.11.2025,3900,UN,3900,48,81,1.0,0.05,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,24D30LJALD,30.04.2024,3677,UN,3900,48,77,0.94,0.05,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A17FJALA,17.01.2025,3662,UN,3900,48,76,0.94,0.05,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLB,14.11.2025,3553,UN,3900,48,74,0.91,0.05,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLF,13.11.2025,3517,UN,3900,48,73,0.9,0.04,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F24FJNLE,24.06.2024,3369,UN,3900,48,70,0.86,0.04,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24C16FJALC,16.03.2024,3215,UN,3900,48,67,0.82,0.04,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F18FJNLD,18.06.2024,3000,UN,3900,48,62,0.77,0.04,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25J29FJHLE,29.10.2025,2923,UN,3900,48,61,0.75,0.04,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLB,07.01.2025,2794,UN,3900,48,58,0.72,0.04,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,24D30LJALE,30.04.2024,2645,UN,3900,48,55,0.68,0.03,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25J28FJHLA,28.10.2025,2398,UN,3900,48,50,0.61,0.03,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLB,13.11.2025,2393,UN,3900,48,50,0.61,0.03,0,0.0
P109,I93,920100666,JUREL FIL TOM PICANTE PRINCES 125G UK,25G07AJIEC,07.07.2025,2323,UN,4180,10,232,0.56,0.03,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25J27FJALA,27.10.2025,2257,UN,3900,48,47,0.58,0.03,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K15LJNLA,15.11.2025,2206,UN,3900,48,46,0.57,0.03,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25K06FJALC,06.11.2025,2171,UN,3900,48,45,0.56,0.03,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25K12FJHLA,12.11.2025,2112,UN,3900,48,44,0.54,0.03,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F17FJNLB,17.06.2024,2060,UN,3900,48,43,0.53,0.03,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,21A21TJNTE,21.01.2021,1754,UN,2700,24,73,0.65,0.03,0,0.0
