centro,almacen,material,descripcion,lote,f_prod,stock,un,un_pallet,f_caja,cajas,pallets,camiones,bloqueado,control_calidad
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C20TJNTD,20.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C20TJNTE,20.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C21TJNTA,21.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C21TJNTB,21.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C21TJNTC,21.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C21TJNTD,21.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C23TJNTA,23.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C23TJNTB,23.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C24TJNTA,24.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C24TJNTB,24.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C24TJNTC,24.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C24TJNTD,24.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTA,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTB,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTC,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTD,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTE,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTF,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C25TJNTG,25.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTC,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTD,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTE,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTF,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTG,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTH,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C26TJNTI,26.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20C27TJNTA,27.03.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F08TJNTF,08.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F09TJNTA,09.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F09TJNTB,09.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F09TJNTC,09.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F09TJNTD,09.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F09TJNTE,09.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F09TJNTF,09.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F10TJNTA,10.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F10TJNTB,10.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F10TJNTC,10.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F10TJNTD,10.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F10TJNTE,10.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F10TJNTF,10.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F11TJNTA,11.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F11TJNTB,11.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F11TJNTC,11.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F11TJNTD,11.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F11TJNTE,11.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F12TJNTA,12.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F13TJNTA,13.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F14TJNTA,14.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F14TJNTB,14.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F14TJNTC,14.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F15TJNTA,15.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F15TJNTB,15.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F15TJNTC,15.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F15TJNTD,15.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F15TJNTE,15.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F16TJNTA,16.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F16TJNTB,16.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F16TJNTC,16.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F16TJNTD,16.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F16TJNTE,16.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F17TJNTA,17.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F17TJNTB,17.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F17TJNTC,17.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F17TJNTD,17.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F20TJNTA,20.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F20TJNTB,20.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F20TJNTC,20.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F20TJNTD,20.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F21TJNTA,21.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F21TJNTB,21.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F21TJNTC,21.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F21TJNTD,21.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F24TJNTA,24.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F25TJNTA,25.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F25TJNTB,25.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F25TJNTC,25.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F25TJNTD,25.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F25TJNTE,25.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F25TJNTF,25.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F26TJNTA,26.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F26TJNTB,26.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F26TJNTC,26.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F26TJNTD,26.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F26TJNTE,26.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F26TJNTF,26.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F27TJNTA,27.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F27TJNTB,27.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F27TJNTC,27.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F27TJNTD,27.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F27TJNTE,27.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F27TJNTF,27.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F28TJNTA,28.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F28TJNTB,28.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F29TJNTA,29.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F29TJNTB,29.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F29TJNTC,29.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F29TJNTD,29.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F29TJNTE,29.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F30TJNTA,30.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F30TJNTB,30.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F30TJNTC,30.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F30TJNTD,30.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F30TJNTE,30.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20F30TJNTF,30.06.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G01TJNTA,01.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G01TJNTB,01.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G01TJNTC,01.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G01TJNTD,01.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G02TJNTA,02.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G02TJNTB,02.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G02TJNTC,02.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G02TJNTD,02.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G02TJNTE,02.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G02TJNTF,02.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G03TJNTA,03.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G03TJNTB,03.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G03TJNTC,03.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G03TJNTD,03.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTA,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTB,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTC,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTD,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTE,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTF,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G04TJNTG,04.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G06TJNTA,06.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G08TJNTA,08.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G08TJNTB,08.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G08TJNTC,08.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G08TJNTD,08.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G08TJNTE,08.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G09TJNTA,09.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G09TJNTB,09.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G09TJNTC,09.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G09TJNTD,09.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G09TJNTE,09.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G10TJNTA,10.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G10TJNTB,10.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G10TJNTC,10.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G10TJNTD,10.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G10TJNTE,10.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G10TJNTF,10.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G11TJNTA,11.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G11TJNTB,11.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G11TJNTC,11.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G11TJNTD,11.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G11TJNTE,11.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G11TJNTF,11.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G14TJNTA,14.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G14TJNTB,14.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G14TJNTC,14.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G15TJNTA,15.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G15TJNTB,15.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G15TJNTC,15.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G15TJNTD,15.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G16TJNTA,16.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G16TJNTB,16.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G16TJNTC,16.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G16TJNTD,16.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G17TJNTA,17.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,20G17TJNTB,17.07.2020,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22A07TJNTA,07.01.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22A07TJNTB,07.01.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22A07TJNTE,07.01.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22A14TJNTE,14.01.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22A24TJNTA,24.01.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22A25TJNTE,25.01.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22B23TJNTE,23.02.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22B26TJNTD,26.02.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C03TJNTA,03.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C04TJNTC,04.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C04TJNTD,04.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C05TJNTA,05.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C08TJNTC,08.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C10TJNTE,10.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C17TJNTA,17.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C17TJNTB,17.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22C19TJNTD,19.03.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D12TJNTA,12.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D12TJNTB,12.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D12TJNTC,12.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D13TJNTA,13.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D13TJNTB,13.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D13TJNTC,13.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D13TJNTD,13.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D13TJNTE,13.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D14TJNTA,14.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D14TJNTB,14.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D14TJNTC,14.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D14TJNTD,14.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D18TJNTA,18.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D18TJNTB,18.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D19TJNTA,19.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D19TJNTB,19.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D19TJNTC,19.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D19TJNTD,19.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D20TJNTA,20.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D20TJNTB,20.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,22D20TJNTC,20.04.2022,12,UN,2700,24,0,0.0,0.0,0,0.0
